Nombre,Caps_Manga,Caps_Anime,Year,Studio,Genero
Dragon Ball,520,153,1986,Toei Animation,Shonen
Dragon Ball Z,520,291,1989,Toei Animation,Shonen
Yuu☆Yuu☆Hakusho,176,112,1992,Studio Pierrot,Shonen
Slam Dunk,197,101,1993,Toei Animation,Deportes
Rurouni Kenshin: Meiji Kenkaku Romantan,259,94,1996,Gallop,Shonen
One Piece (East Blue),100,61,1999,Toei Animation,Shonen
InuYasha,558,167,2000,Sunrise,Shonen
Chobits,88,26,2002,Madhouse,Seinen
Naruto,244,220,2002,Pierrot,Shonen
Naruto,700,220,2002,Studio Pierrot,Shonen
Fullmetal Alchemist,116,51,2003,Bones,Shonen
Bleach,705,366,2004,Studio Pierrot,Shonen
Bleach (Original),479,366,2004,Pierrot,Shonen
Monster,162,74,2004,Madhouse,Seinen
Mushishi,50,26,2005,Artland,Seinen
Death Note,108,37,2006,Madhouse,Thriller
Gintama,709,201,2006,Sunrise,Shonen
Gintama S1,292,201,2006,Sunrise,Comedia
Katekyou Hitman Reborn!,411,203,2006,Artland,Shonen
Ouran Koukou Host Club,87,26,2006,Bones,Comedia
Lovely★Complex,68,24,2007,Toei Animation,Comedia
Naruto Shippuden,456,500,2007,Pierrot,Shonen
Naruto: Shippuuden,700,500,2007,Studio Pierrot,Shonen
Rosario to Vampire,40,13,2008,Gonzo,Shonen
Soul Eater,117,51,2008,Bones,Shonen
Dragon Ball Z Kai,325,167,2009,Toei Animation,Shonen
Fairy Tail,549,175,2009,Satelight,Shonen
Fairy Tail S1,253,175,2009,A-1 Pictures,Shonen
Fullmetal Alchemist Bro.,108,64,2009,Bones,Shonen
Fullmetal Alchemist: Brotherhood,116,64,2009,Bones,Shonen
Kaichou wa Maid-sama!,98,26,2010,J.C.Staff,Comedia
Shiki,42,22,2010,Daume,Shonen
Beelzebub,250,60,2011,Pierrot Plus,Shonen
Hotarubi no Mori e,4,1,2011,Brain's Base,Drama
Hunter x Hunter,339,148,2011,Madhouse,Shonen
Mirai Nikki (TV),59,26,2011,asread.,Shonen
JoJo no Kimyou na Bouken (TV),44,26,2012,David Production,Shonen
Kuroko no Basket S1,73,25,2012,Production I.G,Deportes
Tonari no Kaibutsu-kun,55,13,2012,Brain's Base,Comedia
Zetsuen no Tempest,50,24,2012,Bones,Shonen
Akame ga Kill!,80,24,2014,White Fox,Shonen
Ao Haru Ride,53,12,2014,Production I.G,Romance
Haikyuu!! S1,71,25,2014,Production I.G,Deportes
Kiseijuu: Sei no Kakuritsu,64,24,2014,Madhouse,Seinen
Parasyte,64,24,2014,Madhouse,Seinen
Seven Deadly Sins S1,100,24,2014,A-1 Pictures,Shonen
Shigatsu wa Kimi no Uso,44,22,2014,A-1 Pictures,Shonen
Tokyo Ghoul S1,66,12,2014,Pierrot,Seinen
Assassination Classroom S1,73,22,2015,Lerche,Shonen
Haikyuu!! S2,78,25,2015,Production I.G,Deportes
Kekkai Sensen,33,12,2015,Bones,Shonen
One Punch Man S1,37,12,2015,Madhouse,Seinen
Ore Monogatari!!,55,24,2015,Madhouse,Comedia
Boku dake ga Inai Machi,49,12,2016,A-1 Pictures,Seinen
Haikyuu!! S3,37,10,2016,Production I.G,Deportes
JoJo no Kimyou na Bouken Part 4: Diamond wa Kudakenai,174,39,2016,David Production,Shonen
Mob Psycho 100 S1,50,12,2016,Bones,Accion
My Hero Academia S1,21,13,2016,Bones,Shonen
Orange,38,13,2016,Telecom Animation Film,Drama
Saiki Kusuo no Ψ-nan,290,120,2016,J.C.Staff,Shonen
Sakamoto desu ga?,26,12,2016,Studio Deen,Seinen
Sousei no Onmyouji,143,50,2016,Studio Pierrot,Shonen
Black Clover,270,170,2017,Pierrot,Shonen
My Hero Academia S2,49,25,2017,Bones,Shonen
3D Kanojo: Real Girl,48,12,2018,Hoods Entertainment,Romance
Akkun to Kanojo,66,25,2018,Yumeta Company,Seinen
Citrus,50,12,2018,Passione,Drama
Hataraku Saibou,30,13,2018,David Production,Shonen
Itou Junji: Collection,20,12,2018,Studio Deen,Drama
JoJo no Kimyou na Bouken Part 5: Ougon no Kaze,155,39,2018,David Production,Shonen
My Hero Academia S3,52,25,2018,Bones,Shonen
Yagate Kimi ni Naru,50,13,2018,TROYCA,Drama
Araburu Kisetsu no Otome-domo yo.,34,12,2019,Lay-duce,Shonen
Demon Slayer S1,54,26,2019,ufotable,Shonen
Dr. Stone S1,60,24,2019,TMS Entertainment,Shonen
Fire Force S1,90,24,2019,David Production,Shonen
Kaguya-sama S1,46,12,2019,A-1 Pictures,Seinen
Kanata no Astra,49,12,2019,Lerche,Shonen
Midara na Ao-chan wa Benkyou ga Dekinai,39,12,2019,SILVER LINK.,Shonen
My Hero Academia S4,66,25,2019,Bones,Shonen
One Punch Man S2,47,12,2019,J.C.Staff,Seinen
Vinland Saga S1,54,24,2019,Wit Studio,Seinen
Haikyuu!! To the Top,70,25,2020,Production I.G,Deportes
Jujutsu Kaisen S1,63,24,2020,MAPPA,Shonen
Kakushigoto,54,12,2020,Ajia-do,Shonen
Plunderer,83,24,2020,Geek Toys,Shonen
Umibe no Étranger,4,1,2020,Studio Hibari,Drama
Demon Slayer S2,43,18,2021,ufotable,Shonen
Hataraku Saibou Black,50,13,2021,LIDENFILMS,Seinen
Hataraku Saibou!!,30,8,2021,David Production,Shonen
Jujutsu Kaisen 0 Movie,4,1,2021,MAPPA,Shonen
My Hero Academia S5,68,25,2021,Bones,Shonen
Platinum End,58,24,2021,Signal.MD,Shonen
Taishou Otome Otogibanashi,42,12,2021,SynergySP,Shonen
Bleach TYBW P1,50,13,2022,Pierrot,Shonen
Blue Lock,94,24,2022,8bit,Deportes
Chainsaw Man,38,12,2022,MAPPA,Shonen
Koi wa Sekai Seifuku no Ato de,38,12,2022,Project No.9,Shonen
Romantic Killer,39,12,2022,domerica,Shonen
Spy x Family S1,38,25,2022,Wit Studio,Comedia
Frieren,60,28,2023,Madhouse,Shonen
Hell's Paradise,44,13,2023,MAPPA,Shonen
Jujutsu Kaisen S2,74,23,2023,MAPPA,Shonen
Mashle S1,39,12,2023,A-1 Pictures,Comedia
Oshi no Ko,40,11,2023,Doga Kobo,Seinen
Otonari ni Ginga,37,12,2023,Asahi Production,Seinen
Trigun Stampede,22,12,2023,Orange,Shonen
Vinland Saga S2,46,24,2023,MAPPA,Seinen
Blue Box,33,13,2024,Telecom,Romance
Chi. Chikyuu no Undou ni Tsuite,62,25,2024,Madhouse,Seinen
Dungeon Meshi,102,24,2024,Trigger,Seinen
Kaiju No. 8,38,12,2024,Production I.G,Shonen
Katsute Mahou Shoujo to Aku wa Tekitai shiteita.,21,12,2024,Bones,Shonen
Maougun Saikyou no Majutsushi wa Ningen datta,52,12,2024,Studio A-CAT,Accion
