Nombre,Temporada,Caps_Manga,Caps_Anime,Año_Manga,Año_Anime,Genero,Es_Terminado
Slam Dunk,TV Serie,197,101,1990,1993,Deportes,0
Fullmetal Alchemist Brotherhood,Completa,108,64,2001,2009,Shonen,1
Vinland Saga,S1,54,24,2005,2019,Seinen,1
Vinland Saga,S2,46,24,2005,2023,Seinen,1
Ballroom e Youkoso,S1,54,24,2011,2017,Deportes,1
Haikyuu!!,S1,71,25,2012,2014,Deportes,1
Haikyuu!!,S2,78,25,2012,2015,Deportes,1
Haikyuu!!,S3,57,10,2012,2016,Deportes,1
Haikyuu!!,S4,86,25,2012,2020,Deportes,1
Gintama,S1,292,201,2003,2006,Comedia,1
Kono Oto Tomare,S1+S2,54,26,2012,2019,Drama,1
Death Note,Completa,108,37,2003,2006,Thriller,1
Dragon Ball,Original,194,153,1984,1986,Shonen,1
Dragon Ball Z Kai,Sin Relleno,325,167,1988,2009,Shonen,1
Horimiya,S1,125,13,2011,2021,Romance,1
Spy x Family,S1,38,25,2019,2022,Comedia,1
Spy x Family,S2,21,12,2019,2023,Comedia,1
Mob Psycho 100,S1,50,12,2012,2016,Accion,1
Mob Psycho 100,S2,41,13,2012,2019,Accion,1
Hajime no Ippo,S1,269,76,1989,2000,Deportes,1
Hajime no Ippo,S3 Rising,160,25,1989,2013,Deportes,1
Noragami,S1,12,12,2010,2014,Sobrenatural,0
Noragami,S2 Aragoto,29,13,2010,2015,Sobrenatural,1
Shingeki no Kyojin,S1,34,25,2009,2013,Shonen,1
Shingeki no Kyojin,S2,16,12,2009,2017,Shonen,1
Shingeki no Kyojin,S3,40,22,2009,2018,Shonen,1
Shingeki no Kyojin,S4 Final,49,35,2009,2020,Shonen,1
Naruto,S1 Clasico,244,220,1999,2002,Shonen,1
Naruto Shippuden,S2,456,500,1999,2007,Shonen,1
Hunter x Hunter,2011,339,148,1998,2011,Shonen,1
Jujutsu Kaisen,S1,63,24,2018,2020,Shonen,1
Jujutsu Kaisen,S2,74,23,2018,2023,Shonen,1
Kimetsu no Yaiba,S1,54,26,2016,2019,Shonen,1
Kimetsu no Yaiba,S2 Mugen/Distrito,43,18,2016,2021,Shonen,1
Kimetsu no Yaiba,S3 Herreros,30,11,2016,2023,Shonen,1
Kimetsu no Yaiba,S4 Entrenamiento,12,8,2016,2024,Shonen,1
