Nombre,Caps_Manga,Caps_Anime,Year,Studio,Genero
Death Note,108,37,2006,Madhouse,Shonen
Fullmetal Alchemist: Brotherhood,116,64,2009,Bones,Shonen
Naruto,700,220,2002,Studio Pierrot,Shonen
Naruto: Shippuuden,700,500,2007,Studio Pierrot,Shonen
Shigatsu wa Kimi no Uso,44,22,2014,A-1 Pictures,Shonen
Boku dake ga Inai Machi,49,12,2016,A-1 Pictures,Seinen
Akame ga Kill!,80,24,2014,White Fox,Shonen
Bleach,705,366,2004,Studio Pierrot,Shonen
Mirai Nikki (TV),59,26,2011,asread.,Shonen
Kiseijuu: Sei no Kakuritsu,64,24,2014,Madhouse,Seinen
Fairy Tail,549,175,2009,Satelight,Shonen
JoJo no Kimyou na Bouken (TV),44,26,2012,David Production,Shonen
Soul Eater,117,51,2008,Bones,Shonen
Fullmetal Alchemist,116,51,2003,Bones,Shonen
Kaichou wa Maid-sama!,98,26,2010,J.C.Staff,Comedia
Dragon Ball Z,520,291,1989,Toei Animation,Shonen
Monster,162,74,2004,Madhouse,Seinen
JoJo no Kimyou na Bouken Part 4: Diamond wa Kudakenai,174,39,2016,David Production,Shonen
Saiki Kusuo no Ψ-nan,290,120,2016,J.C.Staff,Shonen
Jujutsu Kaisen 0 Movie,4,1,2021,MAPPA,Shonen
Ouran Koukou Host Club,87,26,2006,Bones,Comedia
Tonari no Kaibutsu-kun,55,13,2012,Brain's Base,Comedia
JoJo no Kimyou na Bouken Part 5: Ougon no Kaze,155,39,2018,David Production,Shonen
Gintama,709,201,2006,Sunrise,Shonen
Dragon Ball,520,153,1986,Toei Animation,Shonen
Ao Haru Ride,53,12,2014,Production I.G,Romance
Kekkai Sensen,33,12,2015,Bones,Shonen
Mushishi,50,26,2005,Artland,Seinen
Orange,38,13,2016,Telecom Animation Film,Drama
Hotarubi no Mori e,4,1,2011,Brain's Base,Drama
InuYasha,558,167,2000,Sunrise,Shonen
Sakamoto desu ga?,26,12,2016,Studio Deen,Seinen
Yuu☆Yuu☆Hakusho,176,112,1992,Studio Pierrot,Shonen
Ore Monogatari!!,55,24,2015,Madhouse,Comedia
Rosario to Vampire,40,13,2008,Gonzo,Shonen
Hataraku Saibou,30,13,2018,David Production,Shonen
Lovely★Complex,68,24,2007,Toei Animation,Comedia
Shiki,42,22,2010,Daume,Shonen
Beelzebub,250,60,2011,Pierrot Plus,Shonen
Zetsuen no Tempest,50,24,2012,Bones,Shonen
Katekyou Hitman Reborn!,411,203,2006,Artland,Shonen
Dungeon Meshi,102,24,2024,Trigger,Seinen
Citrus,50,12,2018,Passione,Drama
Sousei no Onmyouji,143,50,2016,Studio Pierrot,Shonen
Rurouni Kenshin: Meiji Kenkaku Romantan,259,94,1996,Gallop,Shonen
Chobits,88,26,2002,Madhouse,Seinen
Itou Junji: Collection,20,12,2018,Studio Deen,Drama
3D Kanojo: Real Girl,48,12,2018,Hoods Entertainment,Romance
Akkun to Kanojo,66,25,2018,Yumeta Company,Seinen
Yagate Kimi ni Naru,50,13,2018,TROYCA,Drama
Midara na Ao-chan wa Benkyou ga Dekinai,39,12,2019,SILVER LINK.,Shonen
Araburu Kisetsu no Otome-domo yo.,34,12,2019,Lay-duce,Shonen
Kanata no Astra,49,12,2019,Lerche,Shonen
Plunderer,83,24,2020,Geek Toys,Shonen
Kakushigoto,54,12,2020,Ajia-do,Shonen
Umibe no Étranger,4,1,2020,Studio Hibari,Drama
Hataraku Saibou!!,30,8,2021,David Production,Shonen
Hataraku Saibou Black,50,13,2021,LIDENFILMS,Seinen
Platinum End,58,24,2021,Signal.MD,Shonen
Taishou Otome Otogibanashi,42,12,2021,SynergySP,Shonen
Koi wa Sekai Seifuku no Ato de,38,12,2022,Project No.9,Shonen
Romantic Killer,39,12,2022,domerica,Shonen
Trigun Stampede,22,12,2023,Orange,Shonen
Otonari ni Ginga,37,12,2023,Asahi Production,Seinen
Maougun Saikyou no Majutsushi wa Ningen datta,52,12,2024,Studio A-CAT,Accion
Katsute Mahou Shoujo to Aku wa Tekitai shiteita.,21,12,2024,Bones,Shonen
Chi. Chikyuu no Undou ni Tsuite,62,25,2024,Madhouse,Seinen
